         4267112 function calls (4191631 primitive calls) in 99.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3840    0.011    0.000    0.011    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/bezier.py:90(_de_casteljau1)
     3026    0.011    0.000    0.011    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:187(get_context)
     1780    0.011    0.000    0.013    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/_weakrefset.py:85(add)
     6539    0.010    0.000    0.070    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_data/_task_stats.py:152(to_anon_stats)
      890    0.010    0.000   21.541    0.024 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:222(_Popen)
     6842    0.010    0.000    0.031    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/colors.py:278(to_rgba)
    11086    0.010    0.000    0.013    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/cbook.py:2020(_setattr_cm)
     1920    0.010    0.000    0.011    0.000 {built-in method matplotlib._path.cleanup_path}
      330    0.010    0.000    0.018    0.000 {built-in method matplotlib.backends._backend_agg.draw_path}
     5089    0.010    0.000    0.010    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      890    0.010    0.000    0.010    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pathlib.py:479(__reduce__)
    30744    0.010    0.000    0.013    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:522(<genexpr>)
     8659    0.010    0.000    0.035    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:267(__exit__)
     3560    0.010    0.000    0.026    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/connection.py:966(reduce_connection)
    39528    0.010    0.000    0.012    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:518(<genexpr>)
     1780    0.010    0.000    0.010    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:368(set_spawning_popen)
      960    0.010    0.000    0.605    0.001 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/networkx/drawing/nx_pylab.py:1407(_update_text_pos_angle)
     5979    0.010    0.000    0.041    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:359(notify)
       89    0.009    0.000   81.283    0.913 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection.py:245(collect)
      890    0.009    0.000    0.010    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py:355(__getstate__)
     3738    0.009    0.000    0.036    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/weakref.py:347(__new__)
      531    0.009    0.000    0.014    0.000 {built-in method matplotlib.backends._backend_agg.draw_text_image}
